word,log_freq,entropy,entropy_targeted,rounds,rounds_targeted
slogs,1.56,4.474301433223294,4.040213075460229,5.0,
sloid,0.0,5.250478178673196,5.014566000073394,4.0,
slojd,0.0,4.369089277669444,4.102370896597778,5.0,
sloka,1.43,5.171629990168172,4.787029984991171,4.0,
slomo,1.71,4.413651196706764,4.130247181983098,4.0,
sloom,0.0,4.425767545048447,4.171212279950588,4.0,
sloop,2.8,4.411965528369843,4.237268030889443,4.0,4.0
sloot,2.14,4.6824712340325245,4.668959172356502,4.0,
slope,3.9,5.421727109363729,5.289572265048204,4.0,3.0
slops,1.86,4.585320048553588,4.083389115623635,4.0,
slopy,0.0,4.8780815005316205,4.685451367132894,3.0,
slorm,0.0,5.120348095706103,4.959098395762366,4.0,
slosh,2.1,4.416988269348624,4.197935116766372,4.0,3.0
sloth,3.1,5.009122863274241,5.040517492851527,3.0,3.0
slots,3.83,4.8168387291440204,4.454810627583073,4.0,
slove,0.0,5.01861870957404,4.9614666372549445,4.0,
slows,3.39,4.276504582718795,3.8439350707062503,5.0,
sloyd,1.22,4.853207129491453,4.656725871807686,3.0,
slubb,0.0,3.789603485330066,3.641163800773094,5.0,
slubs,0.0,4.183235898033007,3.7340303220632514,4.0,
slued,0.0,5.26165685931446,5.137580831343163,3.0,
slues,0.0,4.966365467932063,4.5494534650372325,5.0,
sluff,1.02,3.6278099580760816,3.58097867189368,4.0,
slugs,3.05,4.2134570443554376,3.828645090541323,5.0,
sluit,0.0,5.146223958035902,5.188390237340728,4.0,
slump,3.36,4.519503430796264,4.342084491253401,4.0,3.0
slums,3.2,4.313634742813892,3.824681198301708,5.0,
slung,2.85,4.609058491909193,4.530837111194528,4.0,3.0
slunk,1.97,4.623673962410628,4.454189351260244,5.0,4.0
slurb,0.0,4.719779564269794,4.643421116180725,4.0,
slurp,2.56,4.849576756492538,4.811700106580964,4.0,4.0
slurs,3.12,4.630996691324355,4.270703848407395,4.0,
sluse,0.0,4.793008114323095,4.61712512183999,4.0,
slush,2.99,4.154426059194436,3.984389220464819,4.0,3.0
sluts,3.19,4.558519812327847,4.2387945878007365,4.0,
slyer,0.0,5.33016241218426,5.263899768858669,3.0,
slyly,2.46,3.3584867262353755,3.245363999737944,4.0,4.0
slype,0.0,5.005864282215343,4.923198686860103,4.0,
smaak,0.0,4.371064546440602,3.829891493612605,4.0,
smack,3.64,4.550895193331973,4.300896612805897,4.0,4.0
smaik,0.0,4.928117325375486,4.483374850046531,4.0,
small,5.51,4.4686203388000685,4.322112689148605,4.0,4.0
smalm,0.0,4.38986067365727,4.148978819461759,4.0,
smalt,0.0,5.204683463186662,5.14589065219735,4.0,
smarm,1.35,4.477837235264464,4.228526556863669,4.0,
smart,4.83,5.2999166466422585,5.243258522683219,4.0,3.0
smash,4.09,4.320904835518429,3.946453105820432,4.0,3.0
smaze,0.0,4.806384447264447,4.510279011083824,4.0,
smear,3.46,5.533229344913135,5.316396863706967,4.0,3.0
smeek,0.0,4.4509810438951805,4.053594574138227,5.0,
smees,0.0,4.33267365363061,3.7292937685368743,5.0,
smeik,0.0,4.881216665543393,4.4595465056937,4.0,
smeke,0.0,4.426787512211752,4.0745676679095535,4.0,
smell,4.49,4.422517521353849,4.311849056331229,5.0,3.0
smelt,2.99,5.152295874077237,5.104820939779229,4.0,3.0
smerk,0.0,4.875924497648006,4.562947232935096,4.0,
smews,0.0,4.128207154416767,3.5498239831095675,5.0,
smick,0.0,4.34661426689883,4.111599539431288,5.0,
smile,4.64,5.368628812850642,5.23082756090317,4.0,3.0
smily,1.35,4.801731935279374,4.59184083135789,4.0,
smirk,3.04,4.732600499428942,4.417878520990907,3.0,3.0
smirr,0.0,4.408504159414997,4.305036341743174,4.0,
smirs,0.0,4.616826974856863,4.095000927024343,5.0,
smite,2.93,5.36931488462471,5.22903205836331,4.0,3.0
smith,4.89,4.713764971402544,4.6188770531773695,4.0,3.0
smits,2.1,4.518366841411876,4.01295040543434,4.0,
smize,1.04,4.6249747233208005,4.322195136448125,4.0,
smock,2.57,4.387232821077194,4.103704715742039,5.0,5.0
smogs,0.0,4.211348861811033,3.581918161352001,5.0,
smoke,4.67,5.024964989484731,4.6121548861578825,5.0,3.0
smoko,1.55,4.034873215816475,3.522861603682634,4.0,
smoky,3.33,4.484095186263887,4.018366037667176,4.0,3.0
smolt,1.52,5.041041856256043,4.95490857274454,4.0,
smoor,0.0,4.520735318542217,4.286761569185258,4.0,
smoot,2.39,4.42210872450413,4.22089599710479,5.0,
smore,1.42,5.485800301661048,5.2833462251513374,4.0,
smorg,0.0,4.769727765710797,4.5487552903830295,4.0,
smote,2.3,5.390907108628346,5.189314862675656,4.0,3.0
smout,1.56,4.893379925382519,4.724531691298986,4.0,
smowt,0.0,4.497720045577344,4.360829953526121,4.0,
smugs,0.0,3.9436221581636217,3.3621136607235824,4.0,
smurs,0.0,4.387885444609873,3.8594727850133816,4.0,
smush,1.95,3.889558382033993,3.539645535201876,4.0,
smuts,2.41,4.290687857116765,3.780589625095157,4.0,
snabs,0.0,4.523449355257036,3.995478452042019,5.0,
snack,3.9,4.734904310433954,4.58479752614101,4.0,3.0
snafu,2.54,4.6454121449520205,4.455438955973862,4.0,
snags,2.65,4.554838394687319,4.087279660677966,4.0,
snail,3.67,5.4430693945628175,5.335182890284401,4.0,3.0
snake,4.23,5.365576303710275,5.133075125746666,4.0,3.0
snaky,1.72,4.830460494285589,4.516532869699474,4.0,3.0
snaps,3.66,4.661983435411048,4.137793404298825,4.0,
snare,3.25,5.809790990178241,5.76867815732596,4.0,3.0
snarf,1.62,4.940199428318865,4.880485182173221,4.0,
snark,2.65,5.106246571570941,4.8975008944262335,4.0,
snarl,2.62,5.394537824312876,5.382804522544461,4.0,3.0
